OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PCT_RENTER_OCC_UNITS,HCV_PUBLIC_PCT,SHAPE_Length,SHAPE_Area
21623,37179020312,37,179,020312,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,0.192020555582766,0.0012720095722027
21624,37179021015,37,179,021015,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,0.414826576401082,0.00753711994781501
21654,37095920100,37,095,920100,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",16,2.8499999,2.8499999,7.30196979716325,0.176998827992229
21655,37025040702,37,025,040702,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",64,10.51000023,10.51000023,0.12752050921738,0.000902748102957864
21753,37179020501,37,179,020501,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",31,5.4000001,5.4000001,0.173565436735705,0.00110128378263985
21833,37179020308,37,179,020308,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,0.199929234454378,0.00234660972563169
21834,37179020317,37,179,020317,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,0.146001407174616,0.000703702308524855
22030,37051002900,37,051,002900,133,"Raleigh-Durham-Cary, NC  ",,,,0.988970661659585,0.0299982828841985
22031,37119006208,37,119,006208,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,0.0756702528795128,0.000334933423528297
22032,37191000303,37,191,000303,133,"Raleigh-Durham-Cary, NC  ",,,,0.430466432042109,0.00637683469117997
22033,37191000901,37,191,000901,133,"Raleigh-Durham-Cary, NC  ",14,2.41000009,2.41000009,0.560935393618834,0.0057206116392796
22034,37191000500,37,191,000500,133,"Raleigh-Durham-Cary, NC  ",,,,0.205618610383248,0.00129543463320484
22035,37191000602,37,191,000602,133,"Raleigh-Durham-Cary, NC  ",,,,0.864120540494293,0.0209641003704451
22036,37191000302,37,191,000302,133,"Raleigh-Durham-Cary, NC  ",,,,0.435078274815482,0.00679756406162795
22037,37191001000,37,191,001000,133,"Raleigh-Durham-Cary, NC  ",,,,0.725014207537555,0.0194207596425857
22038,37075920100,37,075,920100,11,"Atlanta-Sandy Springs-Gainesville, GA-AL  ",,,,1.24293086511566,0.0352641697437243
22039,37075920200,37,075,920200,11,"Atlanta-Sandy Springs-Gainesville, GA-AL  ",14,7.40999985,7.40999985,0.656024278888449,0.0117174177673313
22040,37075920300,37,075,920300,11,"Atlanta-Sandy Springs-Gainesville, GA-AL  ",81,19.42000008,19.42000008,1.04842214699561,0.0304861255869666
22041,37119000400,37,119,000400,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",152,16.88999939,16.88999939,0.0600507487419812,0.000135713173360543
22042,37119005519,37,119,005519,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",52,12.59000015,12.59000015,0.131283325835331,0.000605802252866039
22205,37195001700,37,195,001700,133,"Raleigh-Durham-Cary, NC  ",,,,0.469616090577962,0.00816514467808441
22206,37195000900,37,195,000900,133,"Raleigh-Durham-Cary, NC  ",,,,0.557920031730598,0.00900395054441265
22207,37051002504,37,051,002504,133,"Raleigh-Durham-Cary, NC  ",37,4.61000013,4.61000013,0.197754098881732,0.00160374218268957
22208,37119004000,37,119,004000,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",96,11.02999973,11.02999973,0.161969416489189,0.000999042615467495
22209,37119004100,37,119,004100,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",28,4.32000017,4.32000017,0.0850655726675332,0.000367568237454224
22216,37119002003,37,119,002003,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",139,28.84000015,28.84000015,0.116826362265076,0.000614790989987075
22217,37119003105,37,119,003105,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,0.090704896356324,0.000337392977096562
22218,37119980300,37,119,980300,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,0.0290774758962542,4.78126990340125e-05
22219,37119003007,37,119,003007,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,0.168834683029623,0.000893680507120408
22220,37133000102,37,133,000102,67,"Greenville, NC    ",,,,1.12046060279913,0.00704544832082715
22221,37133000500,37,133,000500,67,"Greenville, NC    ",,,,2.32401314164732,0.0266075106547086
22222,37133000103,37,133,000103,67,"Greenville, NC    ",,,,1.41008695584306,0.0373078701815156
22223,37133001400,37,133,001400,67,"Greenville, NC    ",,,,0.11275506548945,0.000589249508969856
22226,37119004200,37,119,004200,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",85,11.94999981,11.94999981,0.0782546019567137,0.000272661788298272
22227,37163970700,37,163,970700,133,"Raleigh-Durham-Cary, NC  ",12,1.34000003,1.34000003,0.379789835847885,0.00831443431481543
22228,37163970900,37,163,970900,133,"Raleigh-Durham-Cary, NC  ",,,,1.240177517293,0.0275846694736461
22229,37163970100,37,163,970100,133,"Raleigh-Durham-Cary, NC  ",,,,1.1413440420786,0.0407065363369183
22230,37163970800,37,163,970800,133,"Raleigh-Durham-Cary, NC  ",19,2.08999991,2.08999991,0.579651264452929,0.0134955962396166
22231,37163970400,37,163,970400,133,"Raleigh-Durham-Cary, NC  ",,,,0.777012356146421,0.014783428121017
22232,37163970600,37,163,970600,133,"Raleigh-Durham-Cary, NC  ",30,3.33999991,3.33999991,0.295797518812096,0.00361570887414613
22233,37163971000,37,163,971000,133,"Raleigh-Durham-Cary, NC  ",,,,1.64426541762344,0.0498391618210077
22234,37163970200,37,163,970200,133,"Raleigh-Durham-Cary, NC  ",,,,1.01226664008117,0.0299841556868692
22235,37163970500,37,163,970500,133,"Raleigh-Durham-Cary, NC  ",18,2.82999992,2.82999992,0.680528052501616,0.0200696930550099
22236,37161960900,37,161,960900,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",16,2.06999993,2.06999993,0.355809580484475,0.00361519844054244
22237,37161960100,37,161,960100,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,1.09124755398567,0.0439857089093636
