FIPS,County,ZIP Code,Total Population,Population Age 12 and Up,Number Vaccinated,Percent of Population Age 12 and Up Vaccinated,Social Vulnerability Index,x,y
37069060501,Franklin,27525,7599,6599,3061,46.3858160327322,0.3017,2144110.3886449933,837639.5558070987
37179020306,Union,28079,7833,6212,2455,39.5202833226014,0.5497,1517513.7612864822,482340.37948822975
37163970200,Sampson,28328,6796,6101,2103,34.4697590558925,0.7126,2180354.13388288,524520.2227333337
37163971000,Sampson,28328,5060,4149,1720,41.4557724752952,0.845,2224736.012194872,367312.024319306
37179020403,Union,28110,4705,4094,1593,38.9106008793356,0.4544,1522302.6377627552,456744.5314655602
37101041400,Johnston,27504,7159,6027,2154,35.7391737182678,0.7473,2140414.8392986953,595338.8483380973
37153970800,Richmond,28330,4589,3943,1534,38.9043875221912,0.6414,1752132.5885680318,403933.2682918906
37179021010,Union,28104,8125,6476,4312,66.5843113032736,0.0111,1480095.840680018,468424.393577978
37069060402,Franklin,27525,4984,4136,2012,48.6460348162476,0.895,2175120.2669820935,860941.4106030315
37069060802,Franklin,27557,5105,4363,1798,41.2101764840706,0.5053,2214833.2671764046,781255.7015436441
37179021011,Union,28104,6862,5714,3539,61.935596779839,0.0241,1491143.5465917885,458766.0471586734
37179020311,Union,28079,8036,6642,3060,46.070460704607,0.3355,1507515.6835436225,495720.4556070566
37163970400,Sampson,28318,4570,4091,1312,32.0703984355903,0.5187,2132721.8461467326,447373.9303704947
37163970301,Sampson,28334,6071,5005,1865,37.2627372627373,0.6529,2130810.29387185,538227.5357391685
37179020313,Union,28079,2159,1822,826,45.3347969264544,0.3795,1497748.0300155282,487886.60800023377
37031970701,Carteret,28570,1105,1001,398,39.7602397602398,0.5169,2628940.822491452,369747.42961986363
37101040700,Johnston,27576,3901,3317,1404,42.3274042809768,0.8834,2203986.8410701305,644903.3583941609
37031970901,Carteret,28594,1196,1086,801,73.7569060773481,0.1314,2575498.1690111607,336800.6107648164
37057060304,Davidson,27012,3635,3165,1233,38.957345971564,0.3554,1615437.5652573705,791603.9399488717
37031970403,Carteret,28557,1230,1136,596,52.4647887323944,0.1832,2679770.0432705134,360869.40469941497
37031970702,Carteret,28570,3011,2596,1064,40.9861325115562,0.4063,2628839.4922671616,388413.4728336036
37153970400,Richmond,28379,3862,3315,1666,50.2564102564103,0.4035,1781252.0543951392,440329.72153255343
37179020202,Union,28079,7505,6720,2345,34.8958333333333,0.2864,1541985.714146167,486712.3857510984
37179020312,Union,28079,4578,3816,1473,38.6006289308176,0.6354,1503613.9397706836,489679.32748535275
37179020316,Union,28079,4715,4038,2039,50.4952947003467,0.1203,1499611.0263953805,477256.7559595406
37179021006,Union,28104,5832,4756,3138,65.9798149705635,0.0051,1466059.1916919798,467564.51666739583
37057061500,Davidson,27292,6309,5125,2173,42.4,0.994,1626062.1077275723,747616.370358631
