hud_id,project,proj_add,proj_cty,proj_st,proj_zip,state_id,latitude,longitude,place1990,place2000,place2010,fips1990,fips2000,fips2010,st2010,cnty2010,scattered_site_cd,resyndication_cd,allocamt,n_units,li_units,n_0br,n_1br,n_2br,n_3br,n_4br,inc_ceil,low_ceil,ceilunit,yr_pis,yr_alloc,non_prof,basis,bond,mff_ra,fmha_514,fmha_515,fmha_538,home,home_amt,tcap,tcap_amt,cdbg,cdbg_amt,htf,htf_amt,fha,hopevi,hpvi_amt,tcep,tcep_amt,rad,qozf,qozf_amt,rentassist,trgt_pop,trgt_fam,trgt_eld,trgt_dis,trgt_hml,trgt_other,trgt_spc,type,credit,n_unitsr,li_unitr,metro,dda,qct,nonprog,nlm_reason,nlm_spc,datanote,record_stat
NCA00000005,GARDNER RIDGE APTS,3999 GARDNER RIDGE DR,GASTONIA,NC,28056,314,35.25391388,-81.10870361,990,25580,25580,37071032600,37071032600,37071032600,37,71,2,,,,,,,,,,,,,8888,1988,2,2,2,,,,,2,0,,,2,0,,,,,,,,,,,,,,,,,,,1,2,,,2,,,1,,,,X
NCA00000063,BOULEVARD PHASE II,1620 BROOKSVALE ST,CHARLOTTE,NC,28208,NC1012-840,35.20821762,-80.92133331,480,12000,12000,37119003901,37119003901,37119003903,37,119,2,,,74,,,,,,,,,,8888,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,74,2,,,,,,PROPERTY RECORD ADDED FROM HUD STUDY DATA FILE.,X
NCA00000064,BOULEVARD SENIORS,1620 BROOKSVALE ST,CHARLOTTE,NC,28208,NC1012-873,35.20821762,-80.92133331,480,12000,12000,37119003901,37119003901,37119003903,37,119,2,,,110,,,,,,,,,,8888,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,2,,,,,,PROPERTY RECORD ADDED FROM HUD STUDY DATA FILE.,X
NCA00000066,BROOKSIDE LANDING,431 JOHNSON ST,GARNER,NC,27529,NC1012-878,35.71956253,-78.61190796,975,25480,25480,37183052803,37183052803,37183052803,37,183,2,,,54,,,,,,,,,,8888,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,1,,,,,,PROPERTY RECORD ADDED FROM HUD STUDY DATA FILE.,X
NCA00000067,CAMPBELL TERRACE PHASE II,550 CAMPBELL AVE,FAYETTEVILLE,NC,28301,NC1012-829,35.04290771,-78.8711853,910,22920,22920,37051000200,37051000200,37051000200,37,51,2,,,118,,,,,,,,,,8888,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,118,2,,,,,,PROPERTY RECORD ADDED FROM HUD STUDY DATA FILE.,X
NCA00000068,FOREST EDGE II,125 TABOR XING,TABOR CITY,NC,28463,NC1012-902,34.13892746,-78.86747742,,66520,66520,37047991200,37047991200,37047931200,37,47,2,,,48,,,,,,,,,,8888,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,3,,,,,,PROPERTY RECORD ADDED FROM HUD STUDY DATA FILE.,X
NCA00000958,BARRINGER GARDENS,1842 WEST BOULEVARD,CHARLOTTE,NC,28208,9109034,35.21484375,-80.88803864,,12000,12000,37XXXXXXXXX,37119003902,37119003902,37,119,2,2,0,0,85,0,0,0,0,0,2,1,17,8888,2011,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,,0,1,1,,1,,,,,1,,85,85,1,,,1,,,,X
NCA00000960,CENTRE COURT,1236 HOLDEN DR,GREENVILLE,NC,27858,9181770,35.56497574,-77.36672211,,28080,28080,37XXXXXXXXX,37147000500,37147000502,37,147,,2,671975,78,78,0,0,54,24,0,2,2,0,8888,2015,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,,0,2,1,1,,,,,,1,2,78,78,1,,2,,,,,U
NCA00000963,MORREENE ROAD APARTMENTS,3206 GLASSON STREET,DURHAM,NC,27705,9160939,36.00549316,-78.95494843,,19000,19000,37XXXXXXXXX,37063001502,37063001502,37,63,,2,0,224,224,24,168,32,0,0,2,1,23,8888,2013,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,,0,1,1,1,,,,,,2,,224,224,1,,2,,,,,U
NCA00000985,CAMBRIDGE COMMONS,120 TEXTILE STREET 1012 S WASHINGTON STREET,SHELBY,NC,28152,9182804,35.27664948,-81.54182434,,61200,61200,37XXXXXXXXX,37045951200,37045951200,37,45,2,2,0,0,80,0,0,0,0,0,2,1,32,8888,2015,2,2,2,2,2,2,1,2,0,2,0,2,0,2,0,2,2,0,2,0,2,,0,4,1,1,,,,,,1,,80,80,0,,2,1,1,,,X
